"EM 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tipskupon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Mads",,,,,"Martin Juul",,,,,"Allan Jensen",,,,,"Christian",,,,,"Anders Thusholt",,,,,"TusIsKing",,,,,"Emil ",,,,,"Rasmus Jørgensen",,,,,"Pia Mohr Jørgensen",,,,,"Andreas",,,,,"Laura Jørgensen",,,,,"Mie feat. Blip",,,,
"Dato","Tid","Holdene",,,,,,"T",1,"X",2,,"MIT TIP",,"T","Point",,"MIT TIP",,"T","Point",,"MIT TIP",,"T","Point",,"MIT TIP",,"T","Point",,"MIT TIP",,"T","Point",,"MIT TIP",,"T","Point",,"MIT TIP",,"T","Point",,"MIT TIP",,"T","Point",,"MIT TIP",,"T","Point",,"MIT TIP",,"T","Point",,"MIT TIP",,"T","Point",,"MIT TIP",,"T","Point"
"14-06-2024",21:00,"Tyskland","-","Skotland",5,"-",1,"E",12,0,0,2,"-",1,"E",1,3,"-",1,"E",1,2,"-",0,"E",1,2,"-",0,"E",1,2,"-",0,"E",1,2,"-",0,"E",1,2,"-",1,"E",1,4,"-",0,"E",1,2,"-",1,"E",1,2,"-",0,"E",1,2,"-",1,"E",1,2,"-",0,"E",1
"15-06-2024",15:00,"Ungarn","-","Schweiz",1,"-",3,"T",0,5,7,0,"-",1,"T",1,1,"-",1,"X",0,1,"-",1,"X",0,1,"-",1,"X",0,1,"-",1,"X",0,0,"-",1,"T",1,0,"-",1,"T",1,1,"-",2,"T",1,1,"-",1,"X",0,0,"-",1,"T",1,0,"-",1,"T",1,0,"-",1,"T",1
"15-06-2024",18:00,"Spanien","-","Kroatien",3,"-",0,"E",10,2,0,2,"-",2,"X",0,2,"-",0,"E",1,2,"-",1,"E",1,2,"-",1,"E",1,3,"-",1,"E",1,2,"-",1,"E",1,2,"-",1,"E",1,3,"-",0,"E",3,2,"-",0,"E",1,2,"-",2,"X",0,3,"-",1,"E",1,3,"-",0,"E",3
"15-06-2024",21:00,"Italien","-","Albanien",2,"-",1,"E",11,1,0,3,"-",0,"E",1,1,"-",0,"E",1,3,"-",0,"E",1,1,"-",1,"X",0,3,"-",0,"E",1,3,"-",0,"E",1,2,"-",0,"E",1,3,"-",0,"E",1,3,"-",0,"E",1,1,"-",0,"E",1,2,"-",0,"E",1,2,"-",0,"E",1
"16-06-2024",15:00,"Polen","-","Holland",1,"-",2,"T",1,0,11,0,"-",2,"T",1,0,"-",3,"T",1,1,"-",2,"T",3,0,"-",3,"T",1,1,"-",2,"T",3,0,"-",2,"T",1,0,"-",3,"T",1,0,"-",4,"T",1,1,"-",2,"T",3,1,"-",3,"T",1,2,"-",1,"E",0,1,"-",2,"T",3
"16-06-2024",18:00,"Slovenien","-","Danmark",1,"-",1,"X",1,0,11,0,"-",2,"T",0,1,"-",2,"T",0,0,"-",2,"T",0,0,"-",1,"T",0,0,"-",1,"T",0,2,"-",1,"E",0,0,"-",2,"T",0,1,"-",2,"T",0,1,"-",2,"T",0,1,"-",2,"T",0,1,"-",2,"T",0,0,"-",4,"T",0
"16-06-2024",21:00,"Serbien","-","England",0,"-",1,"T",0,1,11,1,"-",2,"T",1,1,"-",3,"T",1,1,"-",3,"T",1,0,"-",0,"X",0,0,"-",2,"T",1,0,"-",2,"T",1,0,"-",3,"T",1,0,"-",4,"T",1,0,"-",4,"T",1,1,"-",2,"T",1,0,"-",3,"T",1,1,"-",2,"T",1
"17-06-2024",15:00,"Rumænien","-","Ukraine",3,"-",0,"E",1,6,5,0,"-",1,"T",0,2,"-",2,"X",0,2,"-",2,"X",0,1,"-",3,"T",0,1,"-",0,"E",1,0,"-",1,"T",0,1,"-",1,"X",0,1,"-",2,"T",0,0,"-",0,"X",0,0,"-",1,"T",0,0,"-",0,"X",0,0,"-",0,"X",0
"17-06-2024",18:00,"Belgien","-","Slovakiet",0,"-",1,"T",8,4,0,4,"-",0,"E",0,2,"-",0,"E",0,3,"-",0,"E",0,1,"-",1,"X",0,2,"-",0,"E",0,3,"-",0,"E",0,3,"-",1,"E",0,3,"-",0,"E",0,3,"-",1,"E",0,0,"-",0,"X",0,1,"-",1,"X",0,1,"-",1,"X",0
"17-06-2024",21:00,"Østrig","-","Frankrig",0,"-",1,"T",0,0,12,0,"-",3,"T",1,1,"-",2,"T",1,0,"-",3,"T",1,0,"-",2,"T",1,1,"-",2,"T",1,0,"-",2,"T",1,0,"-",3,"T",1,0,"-",3,"T",1,1,"-",4,"T",1,0,"-",3,"T",1,1,"-",3,"T",1,0,"-",2,"T",1
"18-06-2024",18:00,"Tyrkiet","-","Georgien",3,"-",1,"E",8,4,0,2,"-",1,"E",1,3,"-",0,"E",1,2,"-",0,"E",1,4,"-",0,"E",1,1,"-",0,"E",1,1,"-",1,"X",0,1,"-",0,"E",1,2,"-",0,"E",1,1,"-",1,"X",0,2,"-",0,"E",1,1,"-",1,"X",0,1,"-",1,"X",0
"18-06-2024",21:00,"Portugal","-","Tjekkiet",2,"-",1,"E",11,1,0,2,"-",0,"E",1,3,"-",2,"E",1,3,"-",0,"E",1,2,"-",0,"E",1,2,"-",0,"E",1,1,"-",1,"X",0,4,"-",1,"E",1,2,"-",1,"E",3,3,"-",0,"E",1,3,"-",0,"E",1,2,"-",0,"E",1,2,"-",0,"E",1
"19-06-2024",15:00,"Kroatien","-","Albanien",2,"-",2,"X",11,1,0,2,"-",1,"E",0,2,"-",0,"E",0,2,"-",0,"E",0,3,"-",1,"E",0,1,"-",0,"E",0,2,"-",1,"E",0,3,"-",1,"E",0,2,"-",0,"E",0,2,"-",0,"E",0,4,"-",0,"E",0,1,"-",0,"E",0,0,"-",0,"X",1
"19-06-2024",18:00,"Tyskland","-","Ungarn",2,"-",0,"E",10,1,1,3,"-",1,"E",1,4,"-",1,"E",1,2,"-",1,"E",1,0,"-",0,"X",0,2,"-",0,"E",3,2,"-",0,"E",3,1,"-",0,"E",1,2,"-",0,"E",3,1,"-",0,"E",1,1,"-",0,"E",1,3,"-",1,"E",1,0,"-",1,"T",0
"19-06-2024",21:00,"Skotland","-","Schweiz",1,"-",1,"X",3,4,5,0,"-",0,"X",1,1,"-",0,"E",0,2,"-",3,"T",0,1,"-",2,"T",0,1,"-",1,"X",3,1,"-",2,"T",0,1,"-",1,"X",3,1,"-",2,"T",0,1,"-",2,"T",0,3,"-",2,"E",0,1,"-",0,"E",0,1,"-",1,"X",3
"20-06-2024",15:00,"Slovenien","-","Serbien",1,"-",1,"X",0,8,4,0,"-",2,"T",0,0,"-",0,"X",1,1,"-",1,"X",3,0,"-",2,"T",0,1,"-",2,"T",0,0,"-",3,"T",0,1,"-",1,"X",3,1,"-",1,"X",3,1,"-",1,"X",3,0,"-",0,"X",1,0,"-",0,"X",1,1,"-",1,"X",3
"20-06-2024",18:00,"Danmark","-","England",1,"-",1,"X",2,4,6,1,"-",1,"X",3,0,"-",2,"T",0,1,"-",2,"T",0,0,"-",2,"T",0,0,"-",1,"T",0,0,"-",2,"T",0,2,"-",1,"E",0,1,"-",3,"T",0,0,"-",0,"X",1,1,"-",1,"X",3,1,"-",1,"X",3,4,"-",0,"E",0
"20-06-2024",21:00,"Spanien","-","Italien",1,"-",0,"E",5,6,1,0,"-",1,"T",0,1,"-",1,"X",0,2,"-",1,"E",1,2,"-",2,"X",0,1,"-",1,"X",0,2,"-",2,"X",0,2,"-",1,"E",1,2,"-",1,"E",1,2,"-",2,"X",0,1,"-",0,"E",3,2,"-",2,"X",0,1,"-",0,"E",3
"21-06-2024",15:00,"Slovakiet","-","Ukraine",1,"-",2,"T",3,6,3,0,"-",2,"T",1,0,"-",2,"T",1,1,"-",2,"T",3,0,"-",0,"X",0,1,"-",0,"E",0,1,"-",0,"E",0,1,"-",1,"X",0,2,"-",2,"X",0,1,"-",0,"E",0,2,"-",2,"X",0,0,"-",0,"X",0,0,"-",0,"X",0
"21-06-2024",18:00,"Polen","-","Østrig",1,"-",3,"T",2,9,1,1,"-",1,"X",0,3,"-",3,"X",0,2,"-",2,"X",0,1,"-",1,"X",0,1,"-",1,"X",0,1,"-",2,"T",1,0,"-",0,"X",0,1,"-",1,"X",0,1,"-",1,"X",0,0,"-",0,"X",0,2,"-",0,"E",0,1,"-",0,"E",0
"21-06-2024",21:00,"Holland","-","Frankrig",,"-",,"",0,2,10,1,"-",2,"T","",1,"-",3,"T","",1,"-",2,"T","",0,"-",0,"X","",1,"-",2,"T","",1,"-",2,"T","",0,"-",2,"T","",1,"-",3,"T","",1,"-",1,"X","",2,"-",3,"T","",1,"-",2,"T","",1,"-",2,"T",""
"22-06-2024",15:00,"Georgien","-","Tjekkiet",,"-",,"",0,3,9,0,"-",1,"T","",1,"-",3,"T","",0,"-",1,"T","",0,"-",2,"T","",0,"-",2,"T","",0,"-",2,"T","",1,"-",1,"X","",0,"-",3,"T","",2,"-",2,"X","",0,"-",2,"T","",1,"-",2,"T","",0,"-",0,"X",""
"22-06-2024",18:00,"Tyrkiet","-","Portugal",,"-",,"",1,0,11,0,"-",2,"T","",1,"-",3,"T","",0,"-",3,"T","",2,"-",1,"E","",0,"-",1,"T","",0,"-",1,"T","",0,"-",2,"T","",0,"-",2,"T","",1,"-",2,"T","",0,"-",3,"T","",0,"-",3,"T","",0,"-",1,"T",""
"22-06-2024",21:00,"Belgien","-","Rumænien",,"-",,"",11,1,0,2,"-",0,"E","",3,"-",0,"E","",2,"-",0,"E","",3,"-",0,"E","",2,"-",0,"E","",3,"-",0,"E","",2,"-",0,"E","",4,"-",0,"E","",2,"-",0,"E","",2,"-",1,"E","",3,"-",0,"E","",0,"-",0,"X",""
"23-06-2024",21:00,"Schweiz","-","Tyskland",,"-",,"",0,5,7,0,"-",1,"T","",0,"-",2,"T","",1,"-",1,"X","",0,"-",1,"T","",1,"-",3,"T","",0,"-",1,"T","",1,"-",1,"X","",1,"-",2,"T","",0,"-",0,"X","",0,"-",0,"X","",1,"-",1,"X","",1,"-",2,"T",""
"23-06-2024",21:00,"Skotland","-","Ungarn",,"-",,"",4,3,5,0,"-",1,"T","",2,"-",1,"E","",1,"-",2,"T","",1,"-",2,"T","",1,"-",1,"X","",0,"-",2,"T","",2,"-",0,"E","",0,"-",0,"X","",2,"-",0,"E","",2,"-",1,"E","",1,"-",2,"T","",1,"-",1,"X",""
"24-06-2024",21:00,"Albanien","-","Spanien",,"-",,"",0,0,12,0,"-",3,"T","",0,"-",4,"T","",0,"-",4,"T","",0,"-",4,"T","",1,"-",4,"T","",0,"-",3,"T","",1,"-",4,"T","",0,"-",5,"T","",0,"-",3,"T","",0,"-",3,"T","",0,"-",2,"T","",0,"-",2,"T",""
"24-06-2024",21:00,"Kroatien","-","Italien",,"-",,"",2,8,2,3,"-",1,"E","",0,"-",0,"X","",2,"-",2,"X","",1,"-",0,"E","",2,"-",2,"X","",1,"-",1,"X","",1,"-",1,"X","",0,,0,"X","",1,"-",2,"T","",2,"-",2,"X","",1,"-",1,"X","",1,"-",2,"T",""
"25-06-2024",18:00,"Holland","-","Østrig",,"-",,"",10,1,1,2,"-",1,"E","",2,"-",1,"E","",1,"-",0,"E","",0,"-",2,"T","",1,"-",0,"E","",2,"-",0,"E","",2,"-",1,"E","",2,"-",0,"E","",2,"-",0,"E","",2,"-",1,"E","",2,"-",0,"E","",1,"-",1,"X",""
"25-06-2024",18:00,"Frankrig","-","Polen",,"-",,"",12,0,0,4,"-",0,"E","",4,"-",2,"E","",2,"-",0,"E","",3,"-",1,"E","",3,"-",1,"E","",2,"-",1,"E","",3,"-",1,"E","",3,"-",0,"E","",4,"-",1,"E","",4,"-",0,"E","",3,"-",1,"E","",1,"-",0,"E",""
"25-06-2024",21:00,"England","-","Slovenien",,"-",,"",12,0,0,4,"-",0,"E","",2,"-",0,"E","",3,"-",0,"E","",2,"-",1,"E","",3,"-",1,"E","",2,"-",0,"E","",3,"-",0,"E","",3,"-",0,"E","",2,"-",1,"E","",3,"-",1,"E","",2,"-",1,"E","",1,"-",0,"E",""
"25-06-2024",21:00,"Danmark","-","Serbien",,"-",,"",9,3,0,2,"-",1,"E","",1,"-",1,"X","",2,"-",2,"X","",2,"-",1,"E","",1,"-",0,"E","",1,"-",1,"X","",4,"-",0,"E","",1,"-",0,"E","",2,"-",1,"E","",2,"-",0,"E","",1,"-",0,"E","",4,"-",0,"E",""
"26-06-2024",18:00,"Slovakiet","-","Rumænien",,"-",,"",4,7,1,2,"-",1,"E","",0,"-",1,"T","",0,"-",0,"X","",0,"-",0,"X","",0,"-",0,"X","",2,"-",0,"E","",1,"-",1,"X","",2,"-",1,"E","",1,"-",0,"E","",1,"-",1,"X","",0,"-",0,"X","",0,"-",0,"X",""
"26-06-2024",18:00,"Ukraine","-","Belgien",,"-",,"",0,1,11,1,"-",2,"T","",0,"-",2,"T","",0,"-",3,"T","",0,"-",1,"T","",0,"-",3,"T","",0,"-",2,"T","",0,"-",2,"T","",1,"-",3,"T","",0,"-",3,"T","",1,"-",3,"T","",0,"-",1,"T","",1,"-",1,"X",""
"26-06-2024",21:00,"Georgien","-","Portugal",,"-",,"",0,0,12,0,"-",4,"T","",0,"-",4,"T","",0,"-",5,"T","",0,"-",3,"T","",0,"-",3,"T","",0,"-",2,"T","",0,"-",5,"T","",0,"-",4,"T","",0,"-",1,"T","",0,"-",4,"T","",0,"-",2,"T","",0,"-",3,"T",""
"26-06-2024",21:00,"Tjekkiet","-","Tyrkiet",,"-",,"",1,10,1,2,"-",0,"E","",2,"-",2,"X","",0,"-",0,"X","",1,"-",1,"X","",1,"-",1,"X","",1,"-",2,"T","",1,"-",1,"X","",1,"-",1,"X","",0,"-",0,"X","",1,"-",1,"X","",1,"-",1,"X","",0,"-",0,"X",""
,,,,,,,,,,,,,,,"Total",14,,,,"Total",11,,,,"Total",18,,,,"Total",6,,,,"Total",17,,,,"Total",11,,,,"Total",17,,,,"Total",20,,,,"Total",14,,,,"Total",16,,,,"Total",12,,,,"Total",22
,,,,,,,,,,,,,,,"Cifre",1,,,,"Cifre",0,,,,"Cifre",3,,,,"Cifre",0,,,,"Cifre",3,,,,"Cifre",1,,,,"Cifre",2,,,,"Cifre",4,,,,"Cifre",2,,,,"Cifre",2,,,,"Cifre",1,,,,"Cifre",5
,,,,,,,,,,,,,,,"Tipstegn",11,,,,"Tipstegn",11,,,,"Tipstegn",9,,,,"Tipstegn",6,,,,"Tipstegn",8,,,,"Tipstegn",8,,,,"Tipstegn",11,,,,"Tipstegn",8,,,,"Tipstegn",8,,,,"Tipstegn",10,,,,"Tipstegn",9,,,,"Tipstegn",7
,,,,"Målsnit",,,,,,,,,,,"Målsnit",2.5,,,,"Målsnit",2.9,,,,"Målsnit",2.8,,,,"Målsnit",2.2,,,,"Målsnit",2.3,,,,"Målsnit",2.3,,,,"Målsnit",2.6,,,,"Målsnit",2.9,,,,"Målsnit",2.4,,,,"Målsnit",2.6,,,,"Målsnit",2.2,,,,"Målsnit",1.8
