,"EM 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tipskupon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,"Navn1",,,,,"Navn2",,,,,"Navn3",,,,,"Navn4",,,,,"Navn5",,,,,"Navn6",,,,
,"Dato","Tid",,"Holdene",,"Resultat",,,"T",1,"X",2,,"MIT TIP",,"T","Point",,"MIT TIP",,"T","Point",,"MIT TIP",,"T","Point",,"MIT TIP",,"T","Point",,"MIT TIP",,"T","Point",,"MIT TIP",,"T","Point"
,11/06-21,21:00,"Tyrkiet","-","Italien",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,12/06-21,15:00,"Wales","-","Schweiz",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,,,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,12/06-21,18:00,"Danmark","-","Finland",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,12/06-21,21:00,"Belgien","-","Rusland",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,13/06-21,21:00,"Holland","-","Ukraine",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,13/06-21,18:00,"Østrig","-","Nordmakedonien",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,13/06-21,15:00,"England","-","Kroatien",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,14/06-21,15:00,"Skotland","-","Tjekkiet",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,14/06-21,21:00,"Spanien","-","Sverige",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,14/06-21,18:00,"Polen","-","Slovakiet",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,15/06-21,18:00,"Ungarn","-","Portugal",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,15/06-21,21:00,"Frankrig","-","Tyskland",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,16/06-21,18:00,"Tyrkiet","-","Wales",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,16/06-21,21:00,"Italien","-","Schweiz",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,16/06-21,15:00,"Finland","-","Rusland",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,17/06-21,18:00,"Danmark","-","Belgien",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,17/06-21,21:00,"Holland","-","Østrig",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,17/06-21,15:00,"Ukraine","-","Nordmakedonien",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,18/06-21,18:00,"Kroatien","-","Tjekkiet",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,18/06-21,21:00,"England","-","Skotland",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,18/06-21,15:00,"Sverige","-","Slovakiet",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,19/06-21,21:00,"Spanien","-","Polen",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,19/06-21,15:00,"Ungarn","-","Frankrig",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,19/06-21,18:00,"Portugal","-","Tyskland",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,20/06-21,18:00,"Schweiz","-","Tyrkiet",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,20/06-21,18:00,"Italien","-","Wales",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,21/06-21,21:00,"Rusland","-","Danmark",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,21/06-21,21:00,"Finland","-","Belgien",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,21/06-21,18:00,"Nordmakedonien","-","Holland",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,21/06-21,18:00,"Ukraine","-","Østrig",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,22/06-21,21:00,"Kroatien","-","Skotland",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,22/06-21,21:00,"Tjekkiet","-","England",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,23/06-21,18:00,"Slovakiet","-","Spanien",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,23/06-21,18:00,"Sverige","-","Polen",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,23/06-21,21:00,"Portugal","-","Frankrig",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,23/06-21,21:00,"Tyskland","-","Ungarn",,"-",,"",0,0,0,,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"","",,"-",,"",""
,,,,,,,,,,,,,,,,"Total",0,,,,"Total",0,,,,"Total",0,,,,"Total",0,,,,"Total",0,,,,"Total",0
,,,,,,,,,,,,,,,,"Cifre",0,,,,"Cifre",0,,,,"Cifre",0,,,,"Cifre",0,,,,"Cifre",0,,,,"Cifre",0
,,,,,,,,,,,,,,,,"Tipstegn",0,,,,"Tipstegn",0,,,,"Tipstegn",0,,,,"Tipstegn",0,,,,"Tipstegn",0,,,,"Tipstegn",0
,,,,,"Målsnit","#DIV/0!",,,,,,,,,,"Målsnit","#DIV/0!",,,,"Målsnit","#DIV/0!",,,,"Målsnit","#DIV/0!",,,,"Målsnit","#DIV/0!",,,,"Målsnit","#DIV/0!",,,,"Målsnit","#DIV/0!"
